id,id_anfitrion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,texto_banos,noches_minimas,noches_maximas,min_noches_maximas,max_noches_maximas,precio,disp_30d,disp_60d,disp_90d,disp_365d,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,antiguedad_host,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,listados_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia,amenidades
536332,2634978,Isole,Castello,45.4332,12.35018,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1 bath,1,1125,1125,1125,156.0,26,46,47,47,66,5,0,2012-09-10,2025-05-03,0.42,4.44,4.62,4.53,4.2,4.36,4.8,4.39,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042B4J7UIK7BG,"[""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Stove""]"
563510,2634978,Isole,Santa Croce,45.43976,12.32405,Entire rental unit,Entire home/apt,6,1.0,2.0,1.0,2 baths,1,1125,1125,1125,228.50778129734195,9,17,36,303,235,21,2,2013-07-14,2025-05-31,1.62,4.76,4.83,4.77,4.81,4.77,4.96,4.66,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042B4FP4CRU8D,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Bathtub"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Patio or balcony"", ""Toaster"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Elevator"", ""Stove"", ""Freezer""]"
12753082,2634978,Isole,Cannaregio,45.44176,12.34045,Entire rental unit,Entire home/apt,6,2.5,2.0,3.0,2.5 baths,1,1125,1125,1125,198.0,6,15,35,294,73,16,2,2016-12-18,2025-06-03,0.71,4.49,4.55,4.62,4.58,4.67,4.73,4.49,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042B4TNN56RHA,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Pets allowed"", ""Host greets you"", ""Cooking basics"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Stove""]"
12861076,2634978,Isole,Cannaregio,45.44193,12.33771,Entire rental unit,Entire home/apt,8,3.0,3.0,6.0,3 baths,1,1125,1125,1125,277.0,2,21,41,305,66,13,2,2016-06-26,2025-05-31,0.6,4.65,4.77,4.7,4.71,4.71,4.82,4.56,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2S9VUZ4VT,"[""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Toaster"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Stove"", ""Freezer""]"
12881240,2634978,Isole,Cannaregio,45.44315,12.33065,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1 bath,1,1125,1125,1125,365.0,4,21,43,230,52,12,1,2016-09-06,2025-05-18,0.49,4.65,4.77,4.67,4.75,4.58,4.96,4.6,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042B4653XP6NG,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Patio or balcony"", ""Toaster"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Elevator"", ""Stove"", ""Freezer""]"
13160675,2634978,Isole,Cannaregio,45.439212,12.336494,Entire rental unit,Entire home/apt,8,2.0,3.0,7.0,2 baths,31,1125,1125,1125,150.0,0,9,12,280,49,18,0,2016-10-17,2024-11-27,0.46,4.43,4.59,4.59,4.51,4.53,4.78,4.47,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,SL222222X2XX2XXXX2,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Cooking basics"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Hot water"", ""Crib"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Stove""]"
13161601,2634978,Isole,Castello,45.43454,12.34095,Entire rental unit,Entire home/apt,4,2.0,1.0,2.0,2 baths,1,1125,1125,1125,173.0,16,32,57,332,47,16,2,2018-09-18,2025-05-22,0.57,4.64,4.72,4.57,4.3,4.66,4.96,4.45,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042B4YPL2YEMO,"[""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Pets allowed"", ""Oven"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Toaster"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Stove"", ""Freezer""]"
13163603,2634978,Isole,San Marco,45.43483,12.33716,Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,1 bath,1,1125,1125,1125,338.0,8,24,47,299,82,17,1,2016-07-19,2025-05-18,0.76,4.39,4.54,4.67,4.64,4.68,4.79,4.41,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042B4ZMSH9OAQ,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Toaster"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Dishwasher"", ""Elevator"", ""Stove"", ""Dryer"", ""Freezer""]"
13228648,2634978,Isole,San Marco,45.43419,12.33541,Entire rental unit,Entire home/apt,7,2.0,3.0,5.0,2 baths,1,1125,1125,1125,420.0,4,16,31,274,73,7,1,2016-08-07,2025-05-18,0.68,4.64,4.7,4.86,4.75,4.73,4.96,4.61,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042C2RSXCP7M5,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Oven"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Toaster"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Freezer""]"
13383345,2634978,Isole,Cannaregio,45.4456,12.3261,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,1 bath,1,1125,1125,1125,162.0,6,16,38,298,71,14,1,2016-10-02,2025-05-27,0.67,4.37,4.49,4.61,4.51,4.46,4.66,4.15,t,f,2012-06-14,within an hour,0.99,0.99,t,t,139.0,139.0,134,0,0,IT027042B4QF4S6LFV,"[""Microwave"", ""Heating"", ""Essentials"", ""Air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Host greets you"", ""Hot water kettle"", ""Washer"", ""Iron"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Toaster"", ""Hot water"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Freezer""]"
